Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;Count of documento
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;346;JARDINES DE ALTAGRACIA;136
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;348;PORTAL DE LOS ÁNGELES;702
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;350;BETANIA ;3154
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;351;CAFÉ MADRID LA ESTACIÓN;829
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;354;MIRADOR DE COLORADOS;163
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;356;BAVARIA;2737
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;357;CAFÉ MADRID CORRALES;49
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;359;GETSEMANI;485
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;361;VILLAS DEL NOGAL;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;366;LOS CEDROS NORTE;78
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;370;CAMPO MADRID;4036
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;0;BARRIO_S4;492
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;2
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;21;MIRADOR DE LA UIS;833
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;37;LOS CUADROS;916
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;44;VILLA HELENA I Y II;2444
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;45;LOS ÁNGELES;1027
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;46;JOSE MARÍA CÓRDOBA;778
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;79
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;276
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;51;LIZCANO I Y II;609
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;52;ESPERANZA II;2017
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;53;ESPERANZA III;1101
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;54;MIRADOR NORTE;1080
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;57;BOSCONIA ;10
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;58;13 DE JUNIO;5
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;59;LA GRANJITA;229
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;61;REGADERO NORTE;1623
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;62;PRIMAVERAL REGADERO;160
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;64;LA JUVENTUD;1371
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;65;ESPERANZA I;1422
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;66;SAN CRISTOBAL;827
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;67;TRANSICIÓN I AL V;5380
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;68;NUEVA COLOMBIA;404
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;69;VILLA MERCEDES;2173
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;70;OLITAS;361
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;71;BOSQUE NORTE ;1303
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;72;LA INDEPENDENCIA;3671
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;74;NORTE BAJO;147
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;75;SAN RAFAEL;5
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;76;CHAPINERO;5
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;87;DON BOSCO;2
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;95;COMUNEROS;192
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;101;UNIVERSIDAD;8
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;110;MORRORRICO;30
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;113;PUERTO RICO;2
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;116;MIRAFLORES;4
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;153;EL PANTANO I;11
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;179;COLOMBIA;3
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;223;PORVENIR BAJO;12
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;271;MONEQUE;80
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;337;CIUDADELA CLUB COMFENALCO;421
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;21;MIRADOR DE LA UIS;2
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;72;LA INDEPENDENCIA;29
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;74;NORTE BAJO;586
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;75;SAN RAFAEL;2104
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;76;CHAPINERO;932
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;95;COMUNEROS;4651
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;96;MODELO;728
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;97;MUTUALIDAD;1252
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;98;SAN FRANCISCO;2055
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;99;ALARCÓN;225
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;100;SAN ALONSO;13
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;101;UNIVERSIDAD;130
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;113;PUERTO RICO;152
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;130;CENTRO;4
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;131;ANTONIA SANTOS CENTRO;5
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;195;PABLO VI;51
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;218;SAN EXPEDITO;5
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;305;SAN VALENTÍN;1
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;0;BARRIO_S4;2
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;2
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NIÑO NORTE;6
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFÉ MADRID;2
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;16;GALLINERAL;448
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;18;5 DE ENERO;391
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;20;CARLOS PIZARRO;137
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;22;JOSE ANTONIO GALÁN;1671
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;35;MINUTO DE DIOS;1
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;46;JOSE MARÍA CÓRDOBA;1
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;73;CINAL I II Y III;542
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;74;NORTE BAJO;26
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;75;SAN RAFAEL;4
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;77;GAITÁN;3725
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;78;GRANADA;727
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;79;LA FERIA;658
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;80;NAPOLES;903
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;82;GIRARDOT;5190
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;83;ZARABANDA;497
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;84;CUYANITA;724
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;85;CAMILO TORRES;677
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;86;SANTANDER;1999
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;87;DON BOSCO;985
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;89;NAPOLES CURTIEMBRE;432
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;90;LA GLORIA;888
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;92;NARIÑO;1897
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;93;PIO XII;299
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;98;SAN FRANCISCO;1
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;99;ALARCÓN;22
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;119;GALÁN;32
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;130;CENTRO;1
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;131;ANTONIA SANTOS CENTRO;1
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;136;SOTOMAYOR;1
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;141;GARCÍA ROVIRA;26
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;142;ALFONSO LÓPEZ;4
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;145;CAMPO HERMOSO;1
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;154;EL PANTANO II;49
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;193;NUEVA GRANADA;67
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;232;DANGOND;27
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;240;IGSABELAR;17
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;278;12 DE OCTUBRE;1230
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;279;DIVINO NIÑO CENTRO ;483
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;280;RESERVA DE LA INMACULADA;1517
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;307;MILAGRO DE DIOS;808
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;325;MARÍA AUXILIADORA;125
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;333;23 DE JUNIO;596
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;345;PASEO DE LA FERIA;1352
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;356;BAVARIA;6
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;359;GETSEMANI;1
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;365;VILLAS DE GIRARDOT;2049
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;368;URBANIZACIÓN LA INMACULADA;2416
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;999999;BARRIO_S4;1
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;17;RINCÓN DE LA PAZ;946
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;82;GIRARDOT;2
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;141;GARCÍA ROVIRA;64
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;142;ALFONSO LÓPEZ;3340
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;143;LA JOYA;2026
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;144;CHORRERAS DE DON JUAN;660
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;145;CAMPO HERMOSO;6876
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;146;LA ESMERALDA;334
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;149;PRIMERO DE MAYO;897
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;150;VILLAS DEL ROMERO;1
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;151;LA ESTRELLA;3
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;152;QUINTA ESTRELLA;554
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;153;EL PANTANO I;278
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;154;EL PANTANO II;556
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;155;EL PANTANO III;313
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;168;FUNDADORES I Y II;1
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;173;ESTORAQUES;1654
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;175;PUNTA ESTRELLA;19
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;192;LA SALLE;5
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;285;URBANIZACIÓN LOS BUCAROS;38
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;296;LA PARCELA;1
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;301;CERVUNION;1
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;328;CAMPESTRE NORTE ;2
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;329;VILLA DEL PRADO;146
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;336;12 DE FEBRERO;14
5;0;SIN CORREGIMIENTO;0;SIN VEREDA;370;CAMPO MADRID;3
6;0;SIN CORREGIMIENTO;0;SIN VEREDA;99;ALARCÓN;3
6;0;SIN CORREGIMIENTO;0;SIN VEREDA;130;CENTRO;6
6;0;SIN CORREGIMIENTO;0;SIN VEREDA;135;LA CONCORDIA;730
6;0;SIN CORREGIMIENTO;0;SIN VEREDA;137;NUEVO SOTOMAYOR;5
6;0;SIN CORREGIMIENTO;0;SIN VEREDA;144;CHORRERAS DE DON JUAN;123
6;0;SIN CORREGIMIENTO;0;SIN VEREDA;145;CAMPO HERMOSO;5
6;0;SIN CORREGIMIENTO;0;SIN VEREDA;156;CANDILES;601
6;0;SIN CORREGIMIENTO;0;SIN VEREDA;157;SAN MIGUEL;1090
6;0;SIN CORREGIMIENTO;0;SIN VEREDA;158;GOMEZ NIÑO;44
6;0;SIN CORREGIMIENTO;0;SIN VEREDA;159;RICAURTE;601
6;0;SIN CORREGIMIENTO;0;SIN VEREDA;160;LA CEIBA;18
6;0;SIN CORREGIMIENTO;0;SIN VEREDA;162;CIUDADELA REAL DE MINAS ;1
6;0;SIN CORREGIMIENTO;0;SIN VEREDA;180;CANELOS;6
6;0;SIN CORREGIMIENTO;0;SIN VEREDA;191;LA VICTORIA;54
6;0;SIN CORREGIMIENTO;0;SIN VEREDA;194;CORDONCILLO I;9
6;0;SIN CORREGIMIENTO;0;SIN VEREDA;195;PABLO VI;12
6;0;SIN CORREGIMIENTO;0;SIN VEREDA;274;BOLÍVAR;1
6;0;SIN CORREGIMIENTO;0;SIN VEREDA;286;MACAREGUA;2
6;0;SIN CORREGIMIENTO;0;SIN VEREDA;308;LA CUÑITA;1
7;0;SIN CORREGIMIENTO;0;SIN VEREDA;131;ANTONIA SANTOS CENTRO;2
7;0;SIN CORREGIMIENTO;0;SIN VEREDA;158;GOMEZ NIÑO;5
7;0;SIN CORREGIMIENTO;0;SIN VEREDA;159;RICAURTE;2
7;0;SIN CORREGIMIENTO;0;SIN VEREDA;162;CIUDADELA REAL DE MINAS ;68
7;0;SIN CORREGIMIENTO;0;SIN VEREDA;163;BALCONCITOS;481
7;0;SIN CORREGIMIENTO;0;SIN VEREDA;164;MUTIS;7
7;0;SIN CORREGIMIENTO;0;SIN VEREDA;171;CIUDAD BOLIVAR;99
7;0;SIN CORREGIMIENTO;0;SIN VEREDA;177;LOS ALMENDROS;13
7;0;SIN CORREGIMIENTO;0;SIN VEREDA;178;SAN GERARDO I Y II;48
7;0;SIN CORREGIMIENTO;0;SIN VEREDA;180;CANELOS;2
7;0;SIN CORREGIMIENTO;0;SIN VEREDA;182;BUCARAMANGA;18
7;0;SIN CORREGIMIENTO;0;SIN VEREDA;184;LAURELES;1
7;0;SIN CORREGIMIENTO;0;SIN VEREDA;187;LOS NARANJOS;10
7;0;SIN CORREGIMIENTO;0;SIN VEREDA;189;SAMANES;6
7;0;SIN CORREGIMIENTO;0;SIN VEREDA;273;BALCONES DE GRATAMIRA;8
7;0;SIN CORREGIMIENTO;0;SIN VEREDA;286;MACAREGUA;1
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFÉ MADRID EL TÚNEL;2
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;18;5 DE ENERO;2
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;35;MINUTO DE DIOS;3
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;115;BUENAVISTA;3
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;160;LA CEIBA;4
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;178;SAN GERARDO I Y II;2005
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;179;COLOMBIA;287
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;180;CANELOS;1208
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;181;MANZANA 10;277
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;182;BUCARAMANGA;3683
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;183;PEÑÓN DEL VALLE;5
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;184;LAURELES;457
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;185;CORDONCILLO II;305
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;191;LA VICTORIA;7
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;194;CORDONCILLO I;838
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;195;PABLO VI;2231
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;196;AFRIKA;261
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;197;20 DE JULIO;97
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;198;EL FONCE;8
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;199;JUAN XXIII;1247
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;281;SAN IGNACIO REAL;4
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;333;23 DE JUNIO;3
8;0;SIN CORREGIMIENTO;0;SIN VEREDA;349;JUAN XXIII CANCHA LA GUACAMAYA;58
9;0;SIN CORREGIMIENTO;0;SIN VEREDA;192;LA SALLE;11
9;0;SIN CORREGIMIENTO;0;SIN VEREDA;193;NUEVA GRANADA;383
9;0;SIN CORREGIMIENTO;0;SIN VEREDA;200;ANTONIA SANTOS SUR;110
9;0;SIN CORREGIMIENTO;0;SIN VEREDA;201;QUEBRADA LA IGLESIA;416
9;0;SIN CORREGIMIENTO;0;SIN VEREDA;202;SAN PEDRO;706
9;0;SIN CORREGIMIENTO;0;SIN VEREDA;203;SAN MARTÍN;1686
9;0;SIN CORREGIMIENTO;0;SIN VEREDA;204;EL SOL I Y II;687
9;0;SIN CORREGIMIENTO;0;SIN VEREDA;205;GUAYACANES;6
9;0;SIN CORREGIMIENTO;0;SIN VEREDA;207;LA PEDREGOSA;187
9;0;SIN CORREGIMIENTO;0;SIN VEREDA;208;DIAMANTE I;65
9;0;SIN CORREGIMIENTO;0;SIN VEREDA;209;LAS CASITAS;279
9;0;SIN CORREGIMIENTO;0;SIN VEREDA;210;VILLA INES;14
9;0;SIN CORREGIMIENTO;0;SIN VEREDA;211;ASTURIAS;4
9;0;SIN CORREGIMIENTO;0;SIN VEREDA;213;LA LIBERTAD;181
9;0;SIN CORREGIMIENTO;0;SIN VEREDA;239;MANUELA BELTRÁN ;4
9;0;SIN CORREGIMIENTO;0;SIN VEREDA;288;PORTOFINO;1
9;0;SIN CORREGIMIENTO;0;SIN VEREDA;316;MIRADOR DE SAN LORENZO;5
10;0;SIN CORREGIMIENTO;0;SIN VEREDA;0;BARRIO_S4;3
10;0;SIN CORREGIMIENTO;0;SIN VEREDA;182;BUCARAMANGA;3
10;0;SIN CORREGIMIENTO;0;SIN VEREDA;220;DIAMANTE II;43
10;0;SIN CORREGIMIENTO;0;SIN VEREDA;221;SAN LUIS;36
10;0;SIN CORREGIMIENTO;0;SIN VEREDA;222;PROVENZA;57
10;0;SIN CORREGIMIENTO;0;SIN VEREDA;225;EL CRISTAL;3607
10;0;SIN CORREGIMIENTO;0;SIN VEREDA;226;GRANJAS DE PROVENZA;1231
10;0;SIN CORREGIMIENTO;0;SIN VEREDA;227;GRANJAS DE JULIO RINCÓN;1
10;0;SIN CORREGIMIENTO;0;SIN VEREDA;228;EL ROCIO;1
10;0;SIN CORREGIMIENTO;0;SIN VEREDA;233;"LUZ DE SALVACIÓN BAJO		";120
10;0;SIN CORREGIMIENTO;0;SIN VEREDA;234;DELICIAS ALTAS Y BAJAS SUR;4
10;0;SIN CORREGIMIENTO;0;SIN VEREDA;243;CIUDAD VENECIA ;5
10;0;SIN CORREGIMIENTO;0;SIN VEREDA;284;FONTANA;12
10;0;SIN CORREGIMIENTO;0;SIN VEREDA;317;NUEVA FONTANA;8
10;0;SIN CORREGIMIENTO;0;SIN VEREDA;326;VIVEROS DE PROVENZA;463
10;0;SIN CORREGIMIENTO;0;SIN VEREDA;327;LUZ DE SALVACIÓN ALTO;2116
10;0;SIN CORREGIMIENTO;0;SIN VEREDA;331;BRISAS DE PROVENZA ;1361
11;0;SIN CORREGIMIENTO;0;SIN VEREDA;9;LAS DELICIAS;3
11;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFÉ MADRID EL TÚNEL;5
11;0;SIN CORREGIMIENTO;0;SIN VEREDA;142;ALFONSO LÓPEZ;1
11;0;SIN CORREGIMIENTO;0;SIN VEREDA;174;EL BUENO;7
