Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;rango etario;personas
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;1. Primera Infancia (0-5 a§os);57
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;2. Infancia (6 - 11 a§os);41
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;3. Adolescencia (12 - 18 a§os);54
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;4. Juventud (14 - 26 a§os);60
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;5. Adultez (27- 59 a§os);168
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;6. Persona Mayor 60 o mas;41
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1. Primera Infancia (0-5 a§os);117
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;2. Infancia (6 - 11 a§os);97
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;3. Adolescencia (12 - 18 a§os);114
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;4. Juventud (14 - 26 a§os);157
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;5. Adultez (27- 59 a§os);380
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;6. Persona Mayor 60 o mas;97
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1. Primera Infancia (0-5 a§os);314
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;2. Infancia (6 - 11 a§os);269
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;3. Adolescencia (12 - 18 a§os);294
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;4. Juventud (14 - 26 a§os);424
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;5. Adultez (27- 59 a§os);1199
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;6. Persona Mayor 60 o mas;336
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;1. Primera Infancia (0-5 a§os);135
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;2. Infancia (6 - 11 a§os);99
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;3. Adolescencia (12 - 18 a§os);129
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;4. Juventud (14 - 26 a§os);182
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;5. Adultez (27- 59 a§os);455
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;6. Persona Mayor 60 o mas;133
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;1. Primera Infancia (0-5 a§os);40
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;2. Infancia (6 - 11 a§os);39
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;3. Adolescencia (12 - 18 a§os);47
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;4. Juventud (14 - 26 a§os);36
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;5. Adultez (27- 59 a§os);143
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;6. Persona Mayor 60 o mas;45
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;1. Primera Infancia (0-5 a§os);48
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;2. Infancia (6 - 11 a§os);42
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;3. Adolescencia (12 - 18 a§os);45
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;4. Juventud (14 - 26 a§os);49
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;5. Adultez (27- 59 a§os);137
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;6. Persona Mayor 60 o mas;30
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;1. Primera Infancia (0-5 a§os);17
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;2. Infancia (6 - 11 a§os);24
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;3. Adolescencia (12 - 18 a§os);28
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;4. Juventud (14 - 26 a§os);24
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;5. Adultez (27- 59 a§os);87
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;6. Persona Mayor 60 o mas;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;1. Primera Infancia (0-5 a§os);74
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;2. Infancia (6 - 11 a§os);82
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;3. Adolescencia (12 - 18 a§os);79
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;4. Juventud (14 - 26 a§os);90
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;5. Adultez (27- 59 a§os);290
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;6. Persona Mayor 60 o mas;66
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;9;LAS DELICIAS;1. Primera Infancia (0-5 a§os);3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;9;LAS DELICIAS;2. Infancia (6 - 11 a§os);2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;9;LAS DELICIAS;3. Adolescencia (12 - 18 a§os);3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;9;LAS DELICIAS;4. Juventud (14 - 26 a§os);6
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;9;LAS DELICIAS;5. Adultez (27- 59 a§os);7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;9;LAS DELICIAS;6. Persona Mayor 60 o mas;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;10;ASENTAMIENTO BARRIO NUEVO;1. Primera Infancia (0-5 a§os);3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;10;ASENTAMIENTO BARRIO NUEVO;3. Adolescencia (12 - 18 a§os);4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;10;ASENTAMIENTO BARRIO NUEVO;4. Juventud (14 - 26 a§os);3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;10;ASENTAMIENTO BARRIO NUEVO;5. Adultez (27- 59 a§os);6
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;10;ASENTAMIENTO BARRIO NUEVO;6. Persona Mayor 60 o mas;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NI•O NORTE;1. Primera Infancia (0-5 a§os);33
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NI•O NORTE;2. Infancia (6 - 11 a§os);33
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NI•O NORTE;3. Adolescencia (12 - 18 a§os);28
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NI•O NORTE;4. Juventud (14 - 26 a§os);41
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NI•O NORTE;5. Adultez (27- 59 a§os);119
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NI•O NORTE;6. Persona Mayor 60 o mas;21
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFê MADRID EL TÈNEL;1. Primera Infancia (0-5 a§os);83
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFê MADRID EL TÈNEL;2. Infancia (6 - 11 a§os);82
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFê MADRID EL TÈNEL;3. Adolescencia (12 - 18 a§os);90
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFê MADRID EL TÈNEL;4. Juventud (14 - 26 a§os);98
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFê MADRID EL TÈNEL;5. Adultez (27- 59 a§os);295
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFê MADRID EL TÈNEL;6. Persona Mayor 60 o mas;66
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFê MADRID LA UNI‡N;1. Primera Infancia (0-5 a§os);11
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFê MADRID LA UNI‡N;2. Infancia (6 - 11 a§os);13
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFê MADRID LA UNI‡N;3. Adolescencia (12 - 18 a§os);14
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFê MADRID LA UNI‡N;4. Juventud (14 - 26 a§os);20
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFê MADRID LA UNI‡N;5. Adultez (27- 59 a§os);46
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFê MADRID LA UNI‡N;6. Persona Mayor 60 o mas;6
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFê MADRID;1. Primera Infancia (0-5 a§os);78
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFê MADRID;2. Infancia (6 - 11 a§os);69
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFê MADRID;3. Adolescencia (12 - 18 a§os);73
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFê MADRID;4. Juventud (14 - 26 a§os);106
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFê MADRID;5. Adultez (27- 59 a§os);292
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFê MADRID;6. Persona Mayor 60 o mas;55
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFê MADRID LA PLAYA;1. Primera Infancia (0-5 a§os);78
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFê MADRID LA PLAYA;2. Infancia (6 - 11 a§os);66
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFê MADRID LA PLAYA;3. Adolescencia (12 - 18 a§os);76
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFê MADRID LA PLAYA;4. Juventud (14 - 26 a§os);109
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFê MADRID LA PLAYA;5. Adultez (27- 59 a§os);246
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFê MADRID LA PLAYA;6. Persona Mayor 60 o mas;71
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;19;CAFê MADRID LA LOMA;1. Primera Infancia (0-5 a§os);30
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;19;CAFê MADRID LA LOMA;2. Infancia (6 - 11 a§os);18
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;19;CAFê MADRID LA LOMA;3. Adolescencia (12 - 18 a§os);23
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;19;CAFê MADRID LA LOMA;4. Juventud (14 - 26 a§os);21
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;19;CAFê MADRID LA LOMA;5. Adultez (27- 59 a§os);87
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;19;CAFê MADRID LA LOMA;6. Persona Mayor 60 o mas;25
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;24;CIUDADELA CAFê MADRID ;1. Primera Infancia (0-5 a§os);246
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;24;CIUDADELA CAFê MADRID ;2. Infancia (6 - 11 a§os);205
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;24;CIUDADELA CAFê MADRID ;3. Adolescencia (12 - 18 a§os);266
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;24;CIUDADELA CAFê MADRID ;4. Juventud (14 - 26 a§os);340
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;24;CIUDADELA CAFê MADRID ;5. Adultez (27- 59 a§os);771
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;24;CIUDADELA CAFê MADRID ;6. Persona Mayor 60 o mas;159
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFê MADRID EL PLAN;1. Primera Infancia (0-5 a§os);77
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFê MADRID EL PLAN;2. Infancia (6 - 11 a§os);73
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFê MADRID EL PLAN;3. Adolescencia (12 - 18 a§os);92
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFê MADRID EL PLAN;4. Juventud (14 - 26 a§os);78
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFê MADRID EL PLAN;5. Adultez (27- 59 a§os);304
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFê MADRID EL PLAN;6. Persona Mayor 60 o mas;83
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;26;CAFê MADRID LA VIRGEN;1. Primera Infancia (0-5 a§os);23
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;26;CAFê MADRID LA VIRGEN;2. Infancia (6 - 11 a§os);23
